Time (s),X,Y,Radius
0.016666666666666666,959,289,46
0.016666666666666666,1057,695,48
0.016666666666666666,907,701,48
0.016666666666666666,697,695,48
0.016666666666666666,757,695,48
0.016666666666666666,1201,701,48
0.016666666666666666,811,695,47
0.016666666666666666,1707,701,48
0.016666666666666666,217,685,48
0.016666666666666666,985,695,48
0.016666666666666666,1469,697,48
0.016666666666666666,325,685,44
0.016666666666666666,1591,697,48
0.016666666666666666,565,703,41
0.016666666666666666,1537,677,40
0.016666666666666666,1405,703,43
0.016666666666666666,913,779,48
0.016666666666666666,139,701,40
0.016666666666666666,963,31,29
0.016666666666666666,961,367,15
0.016666666666666666,1285,721,28
0.016666666666666666,373,703,36
0.016666666666666666,1129,691,31
0.016666666666666666,83,719,27
0.016666666666666666,643,37,11
0.016666666666666666,1411,755,15
0.03333333333333333,959,291,48
0.03333333333333333,1057,695,48
0.03333333333333333,955,695,48
0.03333333333333333,865,695,49
0.03333333333333333,565,697,48
0.03333333333333333,757,697,44
0.03333333333333333,706,703,43
0.03333333333333333,1423,697,43
0.03333333333333333,637,695,48
0.03333333333333333,218,677,40
0.03333333333333333,1159,695,41
0.03333333333333333,506,695,49
0.03333333333333333,811,707,41
0.03333333333333333,1537,677,40
0.03333333333333333,1297,703,36
0.03333333333333333,457,709,36
0.03333333333333333,1219,703,39
0.03333333333333333,385,685,33
0.03333333333333333,331,697,29
0.03333333333333333,127,655,17
0.03333333333333333,987,34,12
0.03333333333333333,1591,691,27
0.03333333333333333,931,38,11
0.03333333333333333,67,691,28
0.03333333333333333,643,37,11
0.03333333333333333,961,365,15
0.03333333333333333,985,631,31
0.03333333333333333,1748,725,20
0.03333333333333333,943,755,17
0.05,958,290,48
0.05,1057,695,48
0.05,955,695,48
0.05,865,695,49
0.05,218,685,48
0.05,565,697,48
0.05,1423,697,43
0.05,1703,703,49
0.05,706,703,43
0.05,637,695,48
0.05,1531,685,48
0.05,1159,695,41
0.05,1279,701,40
0.05,811,707,41
0.05,331,703,43
0.05,962,31,29
0.05,914,779,45
0.05,457,709,36
0.05,397,703,20
0.05,127,655,17
0.05,1213,683,24
0.05,61,697,27
0.05,643,37,11
0.05,907,35,27
0.06666666666666667,959,291,48
0.06666666666666667,919,695,48
0.06666666666666667,1057,695,48
0.06666666666666667,1165,701,48
0.06666666666666667,176,701,48
0.06666666666666667,865,695,49
0.06666666666666667,1225,695,48
0.06666666666666667,565,697,48
0.06666666666666667,793,695,48
0.06666666666666667,979,695,49
0.06666666666666667,488,695,48
0.06666666666666667,1399,695,48
0.06666666666666667,637,695,48
0.06666666666666667,373,695,48
0.06666666666666667,1701,689,44
0.06666666666666667,703,697,41
0.06666666666666667,913,779,47
0.06666666666666667,1285,721,28
0.06666666666666667,1537,677,28
0.06666666666666667,1333,703,29
0.06666666666666667,987,34,12
0.06666666666666667,83,719,25
0.06666666666666667,931,38,11
0.06666666666666667,643,37,11
0.06666666666666667,985,631,31
0.08333333333333333,959,291,47
0.08333333333333333,919,695,48
0.08333333333333333,1165,701,48
0.08333333333333333,1057,695,48
0.08333333333333333,176,701,48
0.08333333333333333,1225,695,48
0.08333333333333333,865,695,49
0.08333333333333333,565,697,48
0.08333333333333333,757,697,44
0.08333333333333333,488,695,48
0.08333333333333333,1399,695,48
0.08333333333333333,637,695,48
0.08333333333333333,373,695,48
0.08333333333333333,1701,689,44
0.08333333333333333,991,673,32
0.08333333333333333,811,707,41
0.08333333333333333,1297,703,36
0.08333333333333333,1652,719,27
0.08333333333333333,1537,677,28
0.08333333333333333,1761,691,28
0.08333333333333333,987,34,12
0.08333333333333333,931,38,11
0.08333333333333333,67,691,28
0.08333333333333333,643,37,11
0.1,959,291,47
0.1,179,689,49
0.1,1009,695,49
0.1,913,709,48
0.1,813,709,39
0.1,1597,691,49
0.1,1093,697,48
0.1,1165,703,47
0.1,1303,709,47
0.1,1657,685,36
