Participant,Condition,Block,Sequence,Trial,Amplitudes,Width,Event,time,Pos_x,Pos_y
S01,C01,B01,1,1,200,40,MONITOR_INFO,54941,1920,1080
S01,C01,B01,1,1,200,30,MOUSEPOS,437,950,689
S01,C01,B01,1,1,200,30,MOUSEPOS,437,950,689
S01,C01,B01,1,1,200,30,MOUSEPOS,437,950,689
S01,C01,B01,1,1,200,30,MOUSEPOS,437,950,689
S01,C01,B01,1,1,200,30,MOUSEPOS,519,948,686
S01,C01,B01,1,1,200,30,MOUSEPOS,548,944,684
S01,C01,B01,1,1,200,30,MOUSEPOS,564,944,683
S01,C01,B01,1,1,200,30,MOUSEPOS,581,943,683
S01,C01,B01,1,1,200,30,MOUSEPOS,581,943,683
S01,C01,B01,1,1,200,30,MOUSEPOS,632,941,680
S01,C01,B01,1,1,200,30,MOUSEPOS,648,940,680
S01,C01,B01,1,1,200,30,MOUSEPOS,653,939,679
S01,C01,B01,1,1,200,30,MOUSEPOS,669,938,677
S01,C01,B01,1,1,200,30,MOUSEPOS,681,935,676
S01,C01,B01,1,1,200,30,MOUSEPOS,691,934,674
S01,C01,B01,1,1,200,30,MOUSEPOS,703,929,671
S01,C01,B01,1,1,200,30,MOUSEPOS,717,924,666
S01,C01,B01,1,1,200,30,MOUSEPOS,729,917,660
S01,C01,B01,1,1,200,30,MOUSEPOS,741,908,653
S01,C01,B01,1,1,200,30,MOUSEPOS,751,902,649
S01,C01,B01,1,1,200,30,MOUSEPOS,763,888,639
S01,C01,B01,1,1,200,30,MOUSEPOS,773,877,632
S01,C01,B01,1,1,200,30,MOUSEPOS,783,863,622
S01,C01,B01,1,1,200,30,MOUSEPOS,793,852,614
S01,C01,B01,1,1,200,30,MOUSEPOS,804,839,604
S01,C01,B01,1,1,200,30,MOUSEPOS,814,829,597
S01,C01,B01,1,1,200,30,MOUSEPOS,824,819,591
S01,C01,B01,1,1,200,30,MOUSEPOS,837,813,587
S01,C01,B01,1,1,200,30,MOUSEPOS,837,813,587
S01,C01,B01,1,1,200,30,MOUSEPOS,860,813,586
S01,C01,B01,1,1,200,30,MOUSEPOS,870,816,585
S01,C01,B01,1,1,200,30,MOUSEPOS,882,824,583
S01,C01,B01,1,1,200,30,MOUSEPOS,892,833,581
S01,C01,B01,1,1,200,30,MOUSEPOS,904,845,580
S01,C01,B01,1,1,200,30,MOUSEPOS,917,866,578
S01,C01,B01,1,1,200,30,MOUSEPOS,929,889,576
S01,C01,B01,1,1,200,30,MOUSEPOS,940,913,575
