SampleTimeFine,Gyr_X,Gyr_Y,Gyr_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Acc_X,Acc_Y,Acc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0,-0.002975,-0.001602,-0.003662,-0.027229,-0.016376,0.119037,0.029363,-0.015343,9.909553,0.999964,0.002264,0.003507,0.00733
0.008333333,-0.005264,0,0,-0.027229,-0.016376,0.119037,0.05127,0.007106,9.931641,0.999964,0.002242,0.003506,0.007332
0.016666667,-0.001373,0.005722,0.002747,-0.005698,0.00844,0.118926,0.036384,-0.022488,9.931527,0.999964,0.002236,0.00353,0.007349
0.025,0.000916,-0.008926,0.001831,-0.012095,0.009768,0.141035,0.044315,-0.021935,9.953612,0.999964,0.00224,0.003493,0.007354
0.033333333,0.001602,-0.007553,0.001602,0.006994,-0.002861,0.089576,0.022971,-0.014582,9.902229,0.999964,0.002247,0.003462,0.007361
0.041666667,-0.013733,0.003891,0.002747,-0.003902,-0.016231,0.089686,0.029136,-0.000567,9.902344,0.999964,0.00219,0.003478,0.007372
0.05,-0.006638,0.007782,0.017395,-0.007002,0.000269,0.177508,0.035953,-0.016072,9.990121,0.999964,0.002162,0.00351,0.007444
0.058333333,0.002975,-0.001831,0.006409,-0.032617,-0.008721,0.126393,0.05867,0.000122,9.938964,0.999964,0.002174,0.003503,0.007471
0.066666667,0.00206,-0.000229,0.009155,-0.030808,-0.001531,0.104433,0.058717,-0.007127,9.916992,0.999963,0.002182,0.003502,0.007509
0.075,-0.006409,-0.005264,0.003662,0.006288,-0.035038,0.155532,0.014867,0.014382,9.968262,0.999963,0.002156,0.00348,0.007524
0.083333333,-0.002289,-0.003433,-0.004578,-0.028241,0.005206,0.170253,0.05908,-0.015315,9.982795,0.999964,0.002146,0.003465,0.007505
0.091666667,-0.002747,-0.00618,0.006409,-0.007607,0.021435,0.199657,0.044202,-0.036737,10.012205,0.999963,0.002135,0.00344,0.007532
0.1,0.00412,-0.006866,-0.008469,-0.01517,-0.006087,0.162873,0.044689,-0.007495,9.97547,0.999964,0.002152,0.003411,0.007497
0.108333333,-0.00824,-0.002518,0.014648,0.01343,-0.015003,0.155567,0.014753,-0.007667,9.968261,0.999963,0.002118,0.003401,0.007558
0.116666667,-0.014877,0.002747,0.002747,-0.040169,-0.016054,0.221504,0.065918,0.0059,10.034066,0.999963,0.002056,0.003412,0.007569
0.125,0.000229,0.000916,0.002747,-0.013533,-0.001234,0.141024,0.043907,-0.014639,9.953613,0.999963,0.002056,0.003415,0.00758
0.133333333,-0.006638,-0.007095,0.006409,0.006257,-0.014704,0.133616,0.022152,-0.007714,9.946288,0.999963,0.002029,0.003386,0.007607
0.141666667,-0.001602,-0.001831,-0.000916,-0.00592,-0.004051,0.148326,0.036697,-0.014715,9.960937,0.999963,0.002022,0.003378,0.007603
0.15,-0.005493,-0.003891,0.000687,-0.012918,-0.002302,0.118939,0.044221,-0.015105,9.931525,0.999963,0.002,0.003362,0.007606
0.158333333,0,-0.008011,-0.001831,-0.008871,-0.018982,0.184916,0.036955,0,9.997557,0.999964,0.002,0.003328,0.007598
0.166666667,0.010757,0.000687,-0.007553,-0.027284,-0.028153,0.170177,0.051813,0.015098,9.982795,0.999964,0.002045,0.003331,0.007567
0.175,0.003662,0.006638,0.000916,-0.00615,-0.033525,0.111625,0.029022,0.0148,9.924317,0.999964,0.00206,0.003359,0.007571
0.183333333,0.005493,-0.002975,-0.010071,-0.009722,0.005672,0.111741,0.043497,-0.021515,9.924316,0.999964,0.002083,0.003347,0.007529
0.191666667,0.003662,-0.008011,0.010986,-0.01646,0.007999,0.14839,0.051601,-0.021823,9.960936,0.999964,0.002098,0.003314,0.007575
0.2,-0.00824,-0.010986,0.007324,0.00171,0.017191,0.177553,0.037649,-0.036736,9.990117,0.999964,0.002064,0.003268,0.007605
0.208333333,0.000229,0.001831,0.001831,-0.007579,-0.017935,0.155623,0.036545,0.000009,9.968262,0.999964,0.002065,0.003275,0.007613
0.216666667,0.00412,-0.006638,0.005493,-0.008034,0.005506,0.126393,0.043991,-0.021917,9.938964,0.999963,0.002082,0.003248,0.007636
0.225,0.003891,0.002747,0.000916,0.010767,-0.006994,0.104332,0.021859,-0.014488,9.916993,0.999963,0.002098,0.00326,0.00764
0.233333333,-0.008011,-0.002518,-0.004578,0.00777,0.008097,0.104384,0.029173,-0.029398,9.916991,0.999964,0.002065,0.003249,0.007621
0.241666667,0.003891,-0.002747,-0.000916,-0.011736,-0.008964,0.206932,0.04406,-0.007162,10.019531,0.999964,0.002081,0.003237,0.007617
0.25,-0.007095,0.005035,0.010757,-0.01776,-0.000452,0.148377,0.051174,-0.014716,9.960938,0.999963,0.002051,0.003258,0.007661
0.258333333,-0.002518,0.002747,-0.000916,0.026554,-0.005076,0.184862,0.00721,-0.022078,9.997558,0.999963,0.002041,0.00327,0.007657
0.266666667,-0.009384,-0.00206,0.011673,-0.012583,-0.009959,0.119039,0.043801,-0.007944,9.93164,0.999963,0.002002,0.003261,0.007706
0.275,0.002975,-0.002747,-0.003662,0.021591,0.003389,0.155604,0.014763,-0.029173,9.968262,0.999963,0.002014,0.00325,0.007691
0.283333333,-0.005035,0.002518,-0.001831,0.017007,-0.01104,0.075009,0.014659,-0.014627,9.887695,0.999963,0.001993,0.00326,0.007683
0.291666667,0.006409,-0.00618,0.004578,0.008911,-0.015706,0.11164,0.022228,-0.00706,9.924316,0.999963,0.00202,0.003234,0.007703
0.3,-0.005722,-0.001144,0.003433,-0.006812,0.010238,0.199538,0.04445,-0.029078,10.012092,0.999963,0.001996,0.00323,0.007717
0.308333333,-0.002747,0.00206,0.007324,0.021713,0.002695,0.177577,0.014562,-0.029412,9.990234,0.999963,0.001984,0.003238,0.007747
0.316666667,-0.010529,-0.001602,0.010757,0.033852,-0.008719,0.096829,-0.000164,-0.022636,9.909553,0.999963,0.00194,0.003231,0.007791
0.325,0.000916,-0.000687,0.013733,0.007449,0.005855,0.141008,0.029324,-0.029261,9.953613,0.999962,0.001944,0.003229,0.007849
0.333333333,-0.001602,0.001602,0.003433,-0.007585,-0.02049,0.118882,0.036555,-0.000067,9.931526,0.999962,0.001937,0.003235,0.007863
0.341666667,-0.003662,0.007553,0.002747,-0.033351,-0.028916,0.111715,0.058282,0.014496,9.924318,0.999962,0.001921,0.003267,0.007874
0.35,0.005264,0.005035,0.011902,-0.023209,0.007078,0.111679,0.057698,-0.022101,9.924204,0.999961,0.001943,0.003288,0.007924
0.358333333,-0.006409,-0.000687,0.003662,0.000653,-0.015825,0.228849,0.029325,-0.007593,10.041504,0.999961,0.001916,0.003285,0.007939
0.366666667,0.00618,-0.008469,-0.001144,0.03245,0.014598,0.214092,0.007678,-0.044259,10.026742,0.999961,0.001942,0.00325,0.007934
