SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0,0.123524,-0.207791,10.113502,0,0,0,0.999734,-0.010374,-0.00583,-0.019746
0.01,0.137524,-0.173926,10.027933,0.014206,0.039623,0.217609,0.999731,-0.01062,-0.005863,-0.019764
0.02,0.140864,-0.125367,10.131789,0.013566,0.097793,0.320375,0.999729,-0.010946,-0.005905,-0.019683
0.03,0.15893,-0.162459,10.333024,0.03255,0.071608,0.522536,0.999729,-0.011243,-0.00583,-0.019524
0.04,0.164043,-0.215033,10.39427,0.039906,0.021733,0.585001,0.999731,-0.011376,-0.005757,-0.019392
0.05,0.155856,-0.221853,10.308778,0.036282,0.009261,0.499588,0.999735,-0.011301,-0.005633,-0.019252
0.06,0.163486,-0.162244,10.192933,0.046406,0.059666,0.382568,0.99974,-0.011047,-0.00551,-0.019157
0.07,0.184728,-0.126399,10.174725,0.071094,0.089933,0.363853,0.999745,-0.010766,-0.005337,-0.019109
0.08,0.145063,-0.132738,10.046428,0.035647,0.077996,0.235299,0.999747,-0.01061,-0.005198,-0.019155
0.09,0.17291,-0.168052,10.0465,0.066732,0.045759,0.23638,0.999745,-0.010629,-0.005075,-0.019246
0.1,0.175782,-0.178634,10.046379,0.072206,0.040028,0.236478,0.999743,-0.01079,-0.00495,-0.019335
0.11,0.185386,-0.248679,10.119529,0.085808,-0.026096,0.311197,0.999738,-0.010909,-0.004812,-0.019524
0.12,0.212497,-0.250629,10.198989,0.114151,-0.025549,0.390923,0.999734,-0.010948,-0.004698,-0.019728
0.13,0.179696,-0.255574,10.095276,0.084977,-0.038871,0.28699,0.999734,-0.010785,-0.004588,-0.019862
0.14,0.169193,-0.29691,10.04648,0.080277,-0.086252,0.238912,0.999735,-0.010568,-0.004421,-0.019958
0.15,0.184446,-0.292968,10.016042,0.098087,-0.085724,0.208489,0.999736,-0.010386,-0.00429,-0.02005
0.16,0.096206,-0.250164,10.009782,0.011727,-0.043894,0.200579,0.999736,-0.010375,-0.004145,-0.020094
0.17,0.069664,-0.313391,10.028012,-0.012989,-0.100742,0.219948,0.999733,-0.010594,-0.004078,-0.020127
0.18,0.08489,-0.308038,10.131754,0.002008,-0.086403,0.323735,0.999731,-0.010875,-0.004018,-0.020102
0.19,0.126211,-0.294616,10.192635,0.044199,-0.067543,0.384666,0.99973,-0.011062,-0.003935,-0.020031
0.2,0.176531,-0.341698,10.192883,0.096467,-0.11539,0.38634,0.999733,-0.011051,-0.003891,-0.019932
0.21,0.181576,-0.375946,10.125828,0.104514,-0.15764,0.319979,0.999738,-0.010822,-0.003843,-0.019787
0.22,0.158569,-0.320394,10.064798,0.080464,-0.111079,0.257523,0.999744,-0.010514,-0.003839,-0.019675
0.23,0.139653,-0.217492,9.991606,0.060552,-0.013872,0.182068,0.999748,-0.010288,-0.0038,-0.019573
0.24,0.103326,-0.195014,9.924327,0.024992,0.007544,0.114059,0.99975,-0.010257,-0.003758,-0.019531
0.25,0.084585,-0.141742,10.06467,0.002933,0.069146,0.253098,0.999748,-0.010449,-0.003753,-0.019487
0.26,0.116096,-0.155934,10.162301,0.03338,0.065976,0.351204,0.999747,-0.010777,-0.00376,-0.019381
0.27,0.128901,-0.205824,10.217013,0.045455,0.025483,0.407079,0.999746,-0.011143,-0.003807,-0.019242
0.28,0.110124,-0.258191,10.186718,0.028194,-0.026286,0.377825,0.999746,-0.011324,-0.003831,-0.019086
