SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Quat_q0,Quat_q1,Quat_q2,Quat_q3
0,-0.354434,-0.372237,9.985339,0,0,0,0.999654,-0.018526,0.017812,-0.005555
0.01,-0.342575,-0.34164,9.887605,0.008017,0.026728,0.086708,0.999655,-0.01852,0.017803,-0.005537
0.02,-0.335486,-0.37257,9.960935,0.016853,-0.000733,0.160843,0.999655,-0.018546,0.017782,-0.005505
0.03,-0.334953,-0.390948,9.973071,0.016734,-0.019651,0.173629,0.999656,-0.018522,0.017746,-0.005496
0.04,-0.335611,-0.384518,9.875491,0.012777,-0.016571,0.075962,0.999656,-0.018521,0.017738,-0.005516
0.05,-0.329639,-0.366512,9.912097,0.020775,0.00331,0.111637,0.999655,-0.018542,0.017753,-0.005509
0.06,-0.317154,-0.360039,10.015879,0.036193,0.013047,0.214604,0.999656,-0.018535,0.01773,-0.005536
0.07,-0.322991,-0.372277,9.930421,0.027066,-0.002014,0.12992,0.999656,-0.018541,0.017718,-0.005509
0.08,-0.31742,-0.371942,9.973157,0.034372,-0.001351,0.17239,0.999656,-0.018503,0.017722,-0.005537
0.09,-0.354307,-0.395541,9.954847,-0.002832,-0.026342,0.156278,0.999657,-0.018451,0.017742,-0.005516
0.1,-0.323227,-0.366062,9.948744,0.02735,0.002589,0.147997,0.999658,-0.018436,0.017716,-0.005524
0.11,-0.335381,-0.359695,9.948729,0.016024,0.008864,0.148173,0.999658,-0.018424,0.017733,-0.005516
0.12,-0.341527,-0.396761,9.954842,0.008717,-0.02764,0.155868,0.999658,-0.018427,0.017706,-0.005527
0.13,-0.347349,-0.384605,9.948734,0.002863,-0.015713,0.149522,0.999658,-0.018425,0.017699,-0.005547
0.14,-0.353753,-0.365978,9.960955,-0.003581,0.002746,0.161263,0.999659,-0.018402,0.017673,-0.005532
0.15,-0.335068,-0.372045,9.948731,0.0144,-0.003423,0.148624,0.999659,-0.018414,0.017658,-0.005498
0.16,-0.335368,-0.378298,9.95485,0.013416,-0.009908,0.154977,0.99966,-0.018403,0.017625,-0.005478
0.17,-0.322519,-0.371943,9.918229,0.024448,-0.005472,0.117721,0.999661,-0.018385,0.017594,-0.005445
0.18,-0.348374,-0.390237,9.887694,-0.000961,-0.025554,0.088802,0.999661,-0.018346,0.017641,-0.005416
