accx,accy,accz,vx,vy,vz,px,py,pz
0.001326633,0.008291888,-0.004850176,-0.003017897,-0.004640037,-0.00109809,0.582349156,0.229874871,0.00143764
0.001326633,0.008291888,-0.004850176,-0.003017897,-0.004640037,-0.00109809,0.582343118,0.229865563,0.001435463
0.004299119,0.019322209,-0.009391549,-0.003012591,-0.004606869,-0.001117491,0.582337084,0.229856311,0.001433247
0.007576525,0.024738323,-0.008751368,-0.003000701,-0.004562748,-0.001135656,0.582331068,0.229847135,0.001430993
0.010817182,0.030017791,-0.008065981,-0.002982285,-0.004507916,-0.001152496,0.582325081,0.22983806,0.001428705
0.014004956,0.035131102,-0.007335585,-0.002957432,-0.004442677,-0.00116792,0.582319138,0.229829104,0.001426383
0.017124125,0.040050431,-0.006561005,-0.002926265,-0.004367391,-0.001181839,0.582313252,0.229820289,0.001424033
0.020159489,0.044749877,-0.005743698,-0.002888936,-0.004282475,-0.001194164,0.582307433,0.229811634,0.001421656
0.023096477,0.049205659,-0.004885731,-0.002845627,-0.004188392,-0.001204813,0.582301696,0.229803159,0.001419256
0.025921252,0.053396287,-0.003989752,-0.00279655,-0.004085652,-0.001213707,0.582296051,0.229794881,0.001416837
0.028620802,0.057302687,-0.003058942,-0.002741942,-0.003974807,-0.001220772,0.58229051,0.229786816,0.001414401
0.03118304,0.060908296,-0.002096965,-0.002682067,-0.003856441,-0.001225943,0.582285083,0.229778981,0.001411954
0.033596888,0.064199124,-0.00110789,-0.00261721,-0.003731173,-0.00122916,0.582279781,0.229771391,0.001409498
0.035852349,0.067163776,-9.61104E-05,-0.002547679,-0.003599645,-0.001230374,0.582274614,0.229764057,0.001407037
0.037940568,0.069793446,0.000933738,-0.0024738,-0.003462518,-0.001229545,0.582269591,0.229756992,0.001404576
0.039853884,0.072081881,0.001976865,-0.002395917,-0.003320471,-0.001226639,0.582264719,0.229750207,0.001402119
0.041585859,0.074025326,0.003028387,-0.002314385,-0.003174191,-0.001221637,0.582260007,0.22974371,0.00139967
0.043131304,0.075622438,0.004083392,-0.002229573,-0.00302437,-0.001214526,0.582255462,0.22973751,0.001397232
0.044486291,0.076874189,0.005136982,-0.00214186,-0.002871701,-0.001205304,0.582251089,0.229731613,0.001394812
0.045648149,0.077783749,0.006184309,-0.002051628,-0.002716873,-0.001193978,0.582246894,0.229726023,0.001392411
0.046615455,0.078356362,0.007220608,-0.001959267,-0.002560566,-0.001180566,0.582242882,0.229720745,0.001390036
0.047388013,0.078599204,0.008241223,-0.001865166,-0.002403448,-0.001165096,0.582239057,0.229715781,0.001387689
0.047966817,0.078521246,0.009241633,-0.001769715,-0.002246169,-0.001147602,0.582235422,0.229711131,0.001385375
0.048354003,0.078133107,0.010217473,-0.001673299,-0.002089363,-0.001128129,0.582231978,0.229706796,0.001383099
0.048552791,0.0774469,0.011164552,-0.001576299,-0.001933637,-0.001106732,0.582228728,0.229702774,0.001380863
0.04856742,0.076476085,0.012078872,-0.001479088,-0.001779575,-0.001083471,0.582225673,0.229699062,0.001378672
0.04840307,0.075235306,0.012956635,-0.001382029,-0.001627732,-0.001058416,0.582222812,0.229695656,0.001376529
0.048065792,0.073740239,0.013794253,-0.001285476,-0.001478634,-0.001031644,0.582220145,0.229692551,0.001374438
0.04756242,0.072007427,0.014588348,-0.001189766,-0.001332772,-0.001003239,0.58221767,0.229689741,0.001372402
0.046900492,0.070054124,0.015335754,-0.001095226,-0.001190604,-0.000973291,0.582215386,0.22968722,0.001370425
0.046088163,0.06789814,0.016033521,-0.001002164,-0.001052555,-0.000941896,0.582213289,0.229684979,0.001368509
0.045134121,0.065557703,0.016678912,-0.000910873,-0.000919012,-0.000909157,0.582211377,0.229683009,0.001366657
0.0440475,0.063051318,0.017269413,-0.000821628,-0.000790324,-0.00087518,0.582209646,0.229681303,0.001364872
0.042837809,0.060397645,0.017802738,-0.000734683,-0.000666806,-0.000840079,0.582208091,0.229679848,0.001363157
0.041514856,0.057615388,0.018276826,-0.000650277,-0.000548734,-0.00080397,0.582206707,0.229678635,0.001361512
0.040088686,0.054723179,0.018689854,-0.000568624,-0.000436345,-0.000766972,0.58220549,0.229677653,0.001359941
0.038569515,0.051739485,0.019040234,-0.000489922,-0.000329841,-0.00072921,0.582204432,0.22967689,0.001358444
0.036967679,0.048682511,0.019326618,-0.000414346,-0.000229387,-0.000690811,0.58220353,0.229676334,0.001357024
0.035293566,0.045570115,0.019547902,-0.000342051,-0.000135111,-0.000651904,0.582202775,0.229675972,0.001355681
0.033557564,0.042419726,0.019703234,-0.000273172,-4.71063E-05,-0.000612619,0.582202162,0.229675793,0.001354416
0.031770001,0.039248269,0.019792028,-0.000207821,3.4568E-05,-0.000573091,0.582201682,0.229675784,0.001353231
0.029941091,0.036072089,0.01981398,-0.000146092,0.000109887,-0.000533451,0.58220133,0.229675932,0.001352124
0.028080874,0.032906883,0.019769091,-8.80564E-05,0.000178856,-0.000493835,0.582201098,0.229676224,0.001351097
0.02619917,0.029767636,0.019657684,-3.37681E-05,0.000241514,-0.000454375,0.582200978,0.229676647,0.001350149
0.024305521,0.026668561,0.019480425,1.67402E-05,0.000297927,-0.000415204,0.582200963,0.22967719,0.001349279
0.022409146,0.023623058,0.019238335,6.3454E-05,0.000348189,-0.000376453,0.582201045,0.229677839,0.001348488
0.020518888,0.02064367,0.018932805,0.000106377,0.000392419,-0.000338251,0.582201217,0.229678582,0.001347773
0.018643175,0.017742061,0.018565606,0.00014553,0.000430763,-0.000300722,0.582201471,0.229679408,0.001347135
0.016789985,0.014928994,0.018138886,0.00018095,0.000463387,-0.000263988,0.582201799,0.229680305,0.001346571
0.014966812,0.012214314,0.017655184,0.000212689,0.000490479,-0.000228166,0.582202194,0.229681262,0.001346079
0.01318065,0.00960694,0.017117416,0.000240817,0.000512245,-0.000193368,0.58220265,0.229682267,0.001345658
0.011437972,0.00711486,0.016528872,0.000265412,0.000528907,-0.000159697,0.582203158,0.229683311,0.001345305
0.009744723,0.00474513,0.015893204,0.000286569,0.000540704,-0.000127252,0.582203711,0.229684383,0.001345019
0.008106315,0.002503872,0.015214395,0.000304391,0.000547887,-9.61239E-05,0.582204304,0.229685474,0.001344796
0.006527633,0.000396285,0.01449674,0.000318994,0.00055072,-6.63945E-05,0.582204929,0.229686574,0.001344635
0.005013038,-0.001573362,0.013744806,0.000330502,0.000549473,-3.81369E-05,0.58220558,0.229687677,0.001344531
0.003566389,-0.003401722,0.012963396,0.000339046,0.000544426,-1.14152E-05,0.582206251,0.229688772,0.001344482
0.002191052,-0.005086369,0.012157506,0.000344767,0.000535866,1.37166E-05,0.582206936,0.229689854,0.001344485
0.000889921,-0.006625784,0.011332274,0.00034781,0.000524081,3.72148E-05,0.58220763,0.229690916,0.001344537
-0.000334571,-0.008019342,0.010492933,0.000348327,0.000509363,5.90457E-05,0.582208327,0.229691951,0.001344634
-0.001480442,-0.00926728,0.009644752,0.000346472,0.000492003,7.91865E-05,0.582209023,0.229692953,0.001344773
-0.002546146,-0.010370669,0.008792982,0.000342405,0.000472293,9.76247E-05,0.582209713,0.229693919,0.001344951
-0.003530575,-0.011331364,0.007942801,0.000336287,0.000450521,0.000114358,0.582210393,0.229694842,0.001345164
-0.004433037,-0.012151956,0.00709926,0.000328283,0.000426968,0.000129396,0.582211058,0.229695721,0.001345408
-0.005253254,-0.01283571,0.006267235,0.000318555,0.000401913,0.000142755,0.582211706,0.22969655,0.001345681
-0.005991344,-0.013386505,0.005451376,0.00030727,0.000375625,0.000154465,0.582212333,0.229697328,0.001345979
-0.006647802,-0.01380876,0.004656071,0.00029459,0.000348367,0.000164561,0.582212935,0.229698053,0.001346299
-0.007223481,-0.014107367,0.003885404,0.000280678,0.00032039,0.000173089,0.582213511,0.229698722,0.001346637
-0.007719569,-0.014287617,0.003143129,0.000265696,0.000291937,0.000180103,0.582214058,0.229699334,0.001346991
-0.008137567,-0.014355135,0.002432645,0.0002498,0.00026324,0.000185662,0.582214574,0.22969989,0.001347358
-0.008479265,-0.014315817,0.001756973,0.000233146,0.000234517,0.000189833,0.582215057,0.229700387,0.001347734
-0.008746718,-0.014175776,0.001118742,0.000215883,0.000205976,0.00019269,0.582215506,0.229700828,0.001348117
-0.008942228,-0.013941305,0.000520171,0.000198159,0.000177814,0.000194308,0.582215921,0.229701211,0.001348505
-0.009068325,-0.013618834,-3.69329E-05,0.000180114,0.000150211,0.00019477,0.582216299,0.229701539,0.001348894
-0.009127747,-0.013214898,-0.000551187,0.000161886,0.000123338,0.00019416,0.582216641,0.229701812,0.001349284
-0.009123427,-0.012736104,-0.001021624,0.000143603,9.73516E-05,0.000192566,0.582216946,0.229702032,0.001349671
-0.009058476,-0.012189101,-0.001447687,0.000125392,7.23939E-05,0.000190074,0.582217215,0.229702202,0.001350054
-0.008936169,-0.011580546,-0.001829217,0.000107369,4.85952E-05,0.000186775,0.582217448,0.229702322,0.001350431
-0.008759933,-0.010917079,-0.002166443,8.96471E-05,2.60717E-05,0.000182757,0.582217645,0.229702396,0.001350801
-0.008533325,-0.010205301,-0.00245997,7.23296E-05,4.92684E-06,0.000178109,0.582217807,0.229702426,0.001351162
-0.00826001,-0.009451747,-0.002710761,5.55138E-05,-1.47495E-05,0.000172917,0.582217934,0.229702416,0.001351514
-0.007943745,-0.008662862,-0.00292013,3.92895E-05,-3.28801E-05,0.000167266,0.582218029,0.229702367,0.001351854
-0.007588343,-0.007844976,-0.00308972,2.37389E-05,-4.94009E-05,0.000161237,0.582218091,0.229702284,0.001352183
-0.007197652,-0.007004287,-0.00322149,8.93618E-06,-6.426E-05,0.000154907,0.582218124,0.22970217,0.001352499
-0.006775529,-0.006146838,-0.003317689,-5.05176E-06,-7.74181E-05,0.000148351,0.582218127,0.229702027,0.001352802
-0.006325819,-0.005278501,-0.003380828,-1.81659E-05,-8.88474E-05,0.000141636,0.582218103,0.22970186,0.001353092
-0.005852334,-0.004404964,-0.00341365,-3.0355E-05,-9.85321E-05,0.000134827,0.582218054,0.229701672,0.001353369
-0.005358837,-0.003531702,-0.003419097,-4.15753E-05,-0.000106467,0.000127982,0.582217982,0.229701466,0.001353632
-0.004849034,-0.002663964,-0.003400271,-5.17904E-05,-0.000112659,0.000121151,0.582217888,0.229701246,0.001353881
-0.004326561,-0.00180675,-0.003360403,-6.09714E-05,-0.000117123,0.000114381,0.582217775,0.229701015,0.001354116
